Hospital Name,City,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Efficient use of medical imaging national comparison
HENDRY REGIONAL MEDICAL CENTER,CLEWISTON,Critical Access Hospitals,Voluntary non-profit - Other,Yes,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available,Not Available,Not Available
SHANDS STARKE REGIONAL MEDICAL CENTER,STARKE,Critical Access Hospitals,Proprietary,Yes,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available,Not Available,Not Available
MADISON COUNTY MEMORIAL HOSPITAL,MADISON,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
FISHERMEN'S HOSPITAL,MARATHON,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available,Not Available,Same as the national average
MARINERS HOSPITAL,TAVERNIER,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
"ALL CHILDREN'S HOSPITAL, INC",SAINT PETERSBURG,Childrens,Voluntary non-profit - Other,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
NICKLAUS CHILDREN'S HOSPITAL,MIAMI,Childrens,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
SHRINERS HOSPITALS FOR CHILDREN-TAMPA,TAMPA,Childrens,Voluntary non-profit - Other,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
NEMOURS CHILDREN'S HOSPITAL,ORLANDO,Childrens,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
HAMILTON MEDICAL CENTER,DALTON,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
UPSON REGIONAL MEDICAL CENTER,THOMASTON,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
"MAYO CLINIC HEALTH SYSTEM IN WAYCROSS, INC",WAYCROSS,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
NORTHSIDE HOSPITAL FORSYTH,CUMMING,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Below the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
ST MARY'S HOSPITAL,ATHENS,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
PHOEBE PUTNEY MEMORIAL HOSPITAL,ALBANY,Acute Care Hospitals,Government - Hospital District or Authority,Yes,1,Below the national average,Below the national average,Below the national average,Below the national average,Below the national average,Below the national average,Above the national average
CENTRAL PENINSULA GENERAL HOSPITAL,SOLDOTNA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
PROVIDENCE VALDEZ MEDICAL CENTER,VALDEZ,Critical Access Hospitals,Government - Local,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
PROVIDENCE SEWARD HOSPITAL,SEWARD,Critical Access Hospitals,Government - Local,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
PETERSBURG MEDICAL CENTER,PETERSBURG,Critical Access Hospitals,Government - Local,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
WRANGELL MEDICAL CENTER,WRANGELL,Critical Access Hospitals,Government - Local,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
CORDOVA COMMUNITY MEDICAL CENTER,CORDOVA,Critical Access Hospitals,Government - Local,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
SAMUEL SIMMONDS MEMORIAL HOSPITAL,BARROW,Critical Access Hospitals,Government - Federal,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
SOUTH PENINSULA HOSPITAL,HOMER,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Same as the national average,Above the national average,Not Available,Not Available,Not Available
NORTHSIDE HOSPITAL CHEROKEE,CANTON,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,Same as the national average,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average
EMORY UNIVERSITY HOSPITAL,ATLANTA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
TANNER MEDICAL CENTER - CARROLLTON,CARROLLTON,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Same as the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
TANNER MEDICAL CENTER VILLA RICA,VILLA RICA,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
WELLSTAR WEST GEORGIA MEDICAL CENTER,LAGRANGE,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average
PIEDMONT NEWTON HOSPITAL,COVINGTON,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
GORDON HOSPITAL,CALHOUN,Acute Care Hospitals,Voluntary non-profit - Church,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
